DOSSIER_ID,REFERENCE_CHAR,REFERENCE_ANNEE,REFERENCE_NUMERO,REFERENCE_SPLIT,PROCEDURE_COTE,ANNEE_COTE,NUMERO_COTE,Error,VAL_CHP_SUP_01,VAL_CHP_SUP_03,TYPE_EVENEMENT_ID,TR_TYPE_EVENEMENT_DNM,TR_TYPE_EVENEMENT_ABR
106527,COM,1989,504,,,,,,,31989R3381,1260,"Adoption by Council","Formal adoption by Council"
106528,COM,1989,505,,CNS,1989,1044,,,41990Y1231(04),1260,"Adoption by Council","Formal adoption by Council"
106530,COM,1989,508,,,,,,,31989R3514,1260,"Adoption by Council","Formal adoption by Council"
106531,COM,1989,509,,CNS,1989,1045,,,31990L0667,1260,"Adoption by Council","Formal adoption by Council"
106532,COM,1989,510,,,,,,,31989R3379,1260,"Adoption by Council","Formal adoption by Council"
106533,COM,1989,511,,,,,,,31989R3529,1260,"Adoption by Council","Formal adoption by Council"
106534,COM,1989,512,,,,,,,31990L0423,1260,"Adoption by Council","Formal adoption by Council"
106535,COM,1989,514,,,,,,,31989R3756,1260,"Adoption by Council","Formal adoption by Council"
106536,COM,1989,515,1,,,,,,31989R3380,1260,"Adoption by Council","Formal adoption by Council"
106537,COM,1989,515,2,,,,,,31989R3426,1260,"Adoption by Council","Formal adoption by Council"
106538,COM,1989,516,1,,,,,,31989R3425,1260,"Adoption by Council","Formal adoption by Council"
106539,COM,1989,516,2,,,,,,31989R3424,1260,"Adoption by Council","Formal adoption by Council"
106540,COM,1989,517,,,,,,,31989D0578,1260,"Adoption by Council","Formal adoption by Council"
106541,COM,1989,518,,CNS,1989,1046,,,31991L0271,1260,"Adoption by Council","Formal adoption by Council"
105500,COM,1990,515,5,,,,,,41990D0672,1260,"Adoption by Council","Formal adoption by Council"
106542,COM,1989,522,,,,,,,31989D0672,1260,"Adoption by Council","Formal adoption by Council"
106543,COM,1989,523,,,,,,,31989R3706,1260,"Adoption by Council","Formal adoption by Council"
106544,COM,1989,530,,,,,,,31989R3693,1260,"Adoption by Council","Formal adoption by Council"
106546,COM,1989,533,2,,,,,,31989D0634,1260,"Adoption by Council","Formal adoption by Council"
106547,COM,1989,533,3,,,,,,31989D0635,1260,"Adoption by Council","Formal adoption by Council"
106549,COM,1989,533,5,,,,,,31989R3722,1260,"Adoption by Council","Formal adoption by Council"
106550,COM,1989,533,6,,,,,,31989R3723,1260,"Adoption by Council","Formal adoption by Council"
116280,COM,1985,111,,,,,,,31985R2140,1260,"Adoption by Council","Formal adoption by Council"
116282,COM,1985,113,,,,,,,31985D0372,1260,"Adoption by Council","Formal adoption by Council"
116284,COM,1985,115,,,,,,,31985R1528,1260,"Adoption by Council","Formal adoption by Council"
106590,COM,1989,577,,,,,,,31989R4003,1260,"Adoption by Council","Formal adoption by Council"
116285,COM,1985,116,,,,,,,31985D0375,1260,"Adoption by Council","Formal adoption by Council"
106574,COM,1989,562,,,,,,,31989D0648,1260,"Adoption by Council","Formal adoption by Council"
106575,COM,1989,563,,,,,,,31989R4056,1260,"Adoption by Council","Formal adoption by Council"
106577,COM,1989,564,2,CNS,1989,1049,,,31991L0440,1260,"Adoption by Council","Formal adoption by Council"
106578,COM,1989,564,3,CNS,1989,1050,,,31991R1893,1260,"Adoption by Council","Formal adoption by Council"
105544,COM,1990,579,2,,,,,,31991R0296,1260,"Adoption by Council","Formal adoption by Council"
106580,COM,1989,564,5,,,,,,31991L0224,1260,"Adoption by Council","Formal adoption by Council"
106581,COM,1989,565,,,,,,,31989R3846,1260,"Adoption by Council","Formal adoption by Council"
106582,COM,1989,566,,,,,,,31989R3847,1260,"Adoption by Council","Formal adoption by Council"
106583,COM,1989,567,,CNS,1989,1051,,,31990D0267,1260,"Adoption by Council","Formal adoption by Council"
106586,COM,1989,570,,,,,,,31989R4061,1260,"Adoption by Council","Formal adoption by Council"
