ReleveAnnee,ReleveMois,NoOrdre,TitreRMC,AdopCSRegleVote,AdopCSAbs,AdoptCSContre,NoCELEX,ProposAnnee,ProposChrono,ProposOrigine,NoUniqueAnnee,NoUniqueType,NoUniqueChrono,ProposSplittee,Suite2eLecturePE,"COUNCIL PATH",Notes,
2000,4,12,"Council Regulation amending Regulation (EC) No 1626/94 laying down certain technical measures for the conservation of fishery resources in the Mediterranean and Regulation (EC) No 850/98 for the conservation of fishery resources through technical measures for the protection of juveniles of marine organisms",V,,,32000R0812,1999,552,COM,1999,CNS,222,,,,,
2000,5,1,"Decision of the European Parliament and of the Council extending Decision No 710/97/EC on a coordinated authorisation approach in the field of satellite personal-communication services in the Community",V,,,"32000D1215 ",1999,745,COM,2000,COD,20,,,,,
2000,5,2,"Council Decision amending Decision 95/513/EEC on the equivalence of seed potatoes produced in third countries and Decision 95/514/EEC on the equivalence of field inspections carried out in third countries on seed-producing crops and on the equivalence of seed produced in third countries",V,,,32000D0326,2000,64,COM,NULL,CS,NULL,,,,,
2000,5,3,"Council Directive amending Directive 93/53/EEC introducing minimum Community measures for the control of certain fish diseases",V,,,32000L0027,1999,437,COM,1999,CNS,191,,,,,
2000,5,4,"Directive of the European Parliament and of the Council on the approximation of the laws of the Member States relating to insurance against civil liability in respect of the use of motor vehicles and amending Council Directives 73/239/EEC and 88/357/EEC (Fourth Motor Insurance Directive)",V,,,32000L0026,1997,510,COM,1997,COD,264,,,,,
2000,5,5,"Directive 2000/31/EC of the European Parliament and of the Council of 8 June 2000 on certain legal aspects of information society services, in particular electronic commerce, in the Internal Market ('Directive on electronic commerce') ",V,,,32000L0031,1998,586,COM,1998,COD,325,,Y,," Propos* and NoUnique are missing in Celex document. There seems to be a mistake in Prelex document:as it indicates a Council 2nd reading.",
2000,5,6,"Council Regulation concerning further calls of foreign reserve assets by the European Central Bank",U,,,"32000R1010 ",1999,1,BCE,1999,CNS,817,,,,,
2000,5,7,"Council Regulation concerning capital increases of the European Central Bank",V,,,32000R1009,1998,1,BCE,1999,CNS,802,,,,,
2000,5,8,"Council Directive on protective measures against the introduction into the Community of organisms harmful to plants or plant products and against their spread within the Community",V,,,"32000L0029 ",1997,651,COM,1997,CNS,338,,,,,
2000,5,9,"Council Regulation amending Regulation (EC) No 1255/1999 on the common organisation of the market in milk and milk products",V,,,32000R1040,1999,631,COM,1999,CNS,254,,,,,
